item,frequency
आव्ए,1815
द्अन्अ,2857
क्अर्अ,136554
आख्इ,1999
त्आर्ई,1220
ज्अन्अ,13816
व्अर्ई,3701
इत्अ,8265
द्उआ,181
ह् अम्आ,6275
ल्इए,53721
ज्इत्अ,3582
प्य्आर्अ,1222
द्उन्इ,3340
आप्अ,29153
द्इय्आ,21292
ब्अस्अ,3619
उत्अ,2202
ह् अम्ए,4657
म्इल्अ,10367
ज्आए,14054
म्ओद्ई,6411
स्अर्अ,27573
क्आर्अ,33171
प्अह् अ,23582
क्आर्य्अ,12121
क्आल्अ,2187
त्ईन्अ,6506
त्अल्आ,1625
ल्एक्अ,10392
ब्इल्अ,1653
ल्आय्आ,524
ग्अय्आ,30251
ह् आल्आ,4826
त्अब्अ,4090
य्अह् अ,31555
र्आज्य्अ,7681
स्अभ्आ,4480
प्आस्अ,8183
न्अह् ई,49248
प्आय्आ,1469
भ्आज्अ,5865
द्इव्अंग्अ,107
न्एत्आ,6737
प्र्अम्ओ,437
म्अह् आ,8357
ब्एट्ई,1526
प्ऊन्अ,168
स्अच्इ,3250
ब्अन्आ,17100
ऐस्ई,2878
स्थ्इत्इ,3906
एक्अ,55061
न्य्आय्अ,1170
प्ऊर्ण्अ,1904
स्आर्व्अ,906
ज्अन्इ,867
व्इत्त्अ,1626
इस्अ,83255
त्अर्अ,18348
इस्त्ए,2618
म्आल्अ,3912
स्अंस्आध्अ,509
आव्अंट्अ,229
स्अभ्ई,8866
उप्अ,12964
भ्ओग्अ,457
व्आल्ए,13363
उत्प्आ,2308
व्य्अव्अ,4449
ह् आर्अ,2756
य्अत्आ,1341
और्अ,116092
स्अम्अ,23923
ह् अद्अ,693
आर्थ्इ,1901
प्र्अब्अंध्अ,1725
प्अक्ष्अ,1815
र्ऊप्अ,9411
ब्अढ्आ,4119
द्इल्अ,2244
च्अस्प्अ,338
ड्ईस्ई,401
एच्ए,213
च्एय्अ,662
र्अम्ऐ,601
व्एअंक्अ,40
म्अन्अ,4687
र्एड्ड्ई,185
व्आइ,591
व्इन्आ,293
य्अक्अ,4064
र्अव्इ,2661
ब्ऐठ्अ,4433
म्औज्ऊ,3587
आम्अ,4165
च्उन्आ,9128
स्अत्ई,341
क्उम्आ,6417
ग्औत्अ,397
स्अब्अ,12602
अध्इ,16801
ल्आख्अ,4990
ह् अज्आ,4577
व्ओट्अ,1371
प्र्आप्त्अ,2875
ह् उए,19421
आय्अ,2453
र्अल्ऐ,227
ट्ईम्अ,6744
व्इक्ए,1923
ट्अक्ई,142
प्अर्अ,96155
ब्अल्ल्ए,1649
ब्आज्अ,1992
इय्आ,6807
य्अन्अ,4048
अअंत्अ,4638
र्र्आष्ट्र्ई,511
क्र्इक्ए,2519
स्अंन्य्आस्अ,167
ऐल्आ,647
स्आल्अ,10963
ड्एन्अ,128
म्आर्क्अ,471
ख्इल्आ,9059
द्इव्अ,2155
स्ईय्अ,659
ड्एब्य्ऊ,168
ब्र्आय्अ,37
उम्र्अ,1513
क्इय्आ,36747
स्अफ्अ,3075
र्अह् ए,24349
उन्ह् ओ,17105
प्ईछ्ए,1999
श्इक्आ,3330
क्इए,5338
य्अह् आ,7856
त्अक्अ,21638
प्आक्इ,4684
स्त्आन्अ,4779
ख्एल्ए,665
ल्ऐअंड्अ,1481
ऐत्इ,607
ह् आस्इ,2611
ट्एस्ट्अ,1951
ह् इस्स्आ,1776
ख्एल्अ,3732
अर्ज्उ,409
क्अह् अ,9712
ब्ऑड्ई,284
फ्इट्अ,631
र्अख्अ,6784
ज्अर्ऊ,4728
एक्स्अ,2232
र्अस्आ,558
इज्अ,821
व्अह् अ,16171
ज्अब्अ,15737
ज्इम्अ,258
ख्उद्अ,3497
ब्आक्ई,992
ट्इव्अ,348
इट्ई,324
ज्ऐस्ए,4899
स्आइ,3150
क्इल्अ,410
इअंग्अ,4148
व्इम्अ,400
व्ऑक्अ,112
क्अर्ए,13391
च्एअंज्अ,391
ल्इय्ए,3113
र्अह् अ,11904
ग्एम्अ,445
क्ऑम्प्अ,98
न्एस्अ,838
द्अर्अ,5111
क्उछ्अ,15076
अप्अ,44737
ल्अक्ष्इ,76
ख्ओज्अ,860
श्अब्द्अ,1125
च्आन्अ,1725
स्अक्अ,21351
अम्ए,3661
ऍन्अ,51
प्अर्इ,14406
ण्आम्अ,1286
क्ऐस्ए,2470
प्र्अद्अ,3629
र्श्अन्अ,3034
ल्इस्ट्अ,642
अन्उ,12924
क्ऊल्अ,693
ब्एह् अ,4188
त्र्उट्इ,108
ठ्ईक्अ,1982
स्अक्ष्अ,519
ह् ओअंग्ए,2417
अल्अ,6152
प्अर्ई,3048
क्ष्अण्अ,2948
च्आह् इ,7051
श्ओध्अ,916
क्अर्त्आ,2564
स्ऊच्ई,1131
प्र्आस्अंग्इ,112
श्अब्द्ओ,588
प्र्अद्आ,1738
व्इश्इ,310
म्उक्आ,2050
ब्अल्ए,1222
द्ऊस्अ,7974
त्उल्अ,1346
आश्अ,262
छ्ओट्ए,1508
ह् आल्अ,5001
स्थ्आप्इ,1103
स्आय्अ,731
र्ऐअंक्इ,285
स्ट्अर्अ,660
स्एव्आ,3441
उल्ल्ए,876
ख्अन्ई,528
व्य्आप्अ,574
क्अम्अ,10884
प्र्अत्इ,14019
स्प्अर्ध्ई,77
इक्अ,3705
आक्अ,2298
र्ष्इत्अ,309
आई,12469
