item,frequency
व्ए,27536
द्अ,231810
न्अ,518493
क्अ,562628
र्अ,1223330
न्ए,251168
क्ई,219818
ख्अ,99576
इर्,33409
त्अ,341104
आर्,99760
ज्अ,225851
व्अ,237285
र्ई,67782
ह् ऐ,289495
द्उ,11093
द्ओ,22111
ह् अ,309386
म्अ,462152
ल्इ,61094
क्इ,184568
इत्,53368
न्आ,110774
प्अ,512069
य्आ,230841
न्इ,21976
क्ओ,191560
द्इ,54272
ब्अ,352978
स्अ,543141
ह् ई,122737
एअं,53727
भ्ई,84328
इल्,63791
ज्आ,114092
द्ई,34952
क्आ,249230
क्ए,356544
ल्ए,104271
र्य्,15381
ल्अ,337094
म्ए,264113
त्ई,59300
ल्आ,87572
ग्अ,243978
थ्आ,46315
ह् आ,118715
अंक्,18487
य्अ,191561
र्आ,92865
ज्य्,9571
भ्आ,50288
प्आ,48562
ह् ओ,109995
भ्अ,76336
आज्,39359
इव्,20556
अंग्,45440
त्आ,127354
एट्,18490
प्ऊ,28341
च्अ,146604
ऐस्,14400
स्थ्,17854
एक्,68084
र्ण्,2817
स्आ,75209
र्व्,11614
अज्,1705
अन्,73916
इक्,84161
व्इ,94621
इस्,129598
त्ए,71336
म्आ,116698
स्अं,49540
ध्अ,59070
ओअं,142589
अंट्,15127
ओग्,9936
व्आ,124178
और्,122222
थ्इ,2786
ब्अं,8786
ष्अ,37727
क्ष्,45061
र्ऊ,17705
ड्ई,26604
स्ई,48728
एय्,6066
ऐन्,10451
ट्ई,24307
ट्अ,161542
एड्,7756
ड्अ,75445
ठ्अ,26318
ज्ऊ,7161
थ्ए,17149
आम्,19422
च्उ,8284
श्अ,172491
क्उ,23503
स्ए,183808
अध्,20577
ओट्,13136
प्र्,53324
आप्,12369
ह् उ,47633
आय्,36997
ऐअं,24645
ल्ल्,10960
ब्आ,84503
इय्,74678
अअं,6801
ष्ट्,14634
क्र्,7117
एन्,12641
र्क्,3256
फ्अ,108360
य्ऊ,6798
ह् ए,43825
उन्,73285
अंन्,19788
प्ई,28104
छ्अ,55712
स्त्,26443
आन्,47703
ख्ए,11246
ग्ए,25180
ऐत्,604
इह् ,1955
आस्,18574
एस्,15387
ह् इ,25295
स्स्,1795
इट्,18232
ऊर्,16856
इम्,15256
त्ओ,38105
ज्ऐ,4778
इअं,31729
इन्,45681
ऑल्,5778
य्ए,32838
च्छ्,3152
एम्,7891
ल्प्,2978
अप्,42021
ओज्,11033
च्आ,36880
एज्,10043
र्इ,17208
ण्आ,8830
ष्ठ्,4431
अद्,13906
अर्,23515
उक्,26490
ऊल्,10018
उट्,5345
अल्,19821
अग्,7111
ईक्,1580
ण्अ,51316
ओध्,4726
स्ऊ,1083
च्ई,9096
ब्द्,1856
श्इ,5197
ब्ई,29002
ऊस्,4773
र्ओ,27973
त्उ,4876
छ्ओ,1464
ट्ए,1464
य्ओ,24281
उल्,32872
न्ई,42390
अत्,19733
ध्ई,8321
अक्,73824
ज्ई,33482
त्ऐ,4433
ग्आ,56906
द्आ,38171
ख्आ,22759
द्औ,7296
स्क्,6421
ग्ई,41425
त्त्,4886
आह् ,25074
ऊक्,2770
ध्आ,28748
म्अं,12660
त्र्,27507
क्स्,4543
त्इ,32662
ओड्,16096
एल्,12477
फ्आ,5870
ल्ओ,34528
ज्इ,27231
ऐक्,7316
ल्ई,35218
अंड्,22995
ओल्,16555
अंस्,18276
द्ए,68949
ज्ए,18167
ब्ए,4473
र्त्,9563
अम्,22364
प्उ,13642
थ्ई,21254
ज्ओ,22029
ख्ई,3516
उख्,7366
ओप्,11187
थ्अ,63522
आद्,13932
अंद्,35631
ब्ऐ,2
उर्,25530
ऊप्,5464
क्त्,11251
अण्,5064
ठ्आ,6205
उच्,2262
एव्,7140
ढ्अ,8526
ग्ओ,12985
आध्,6745
ड्ए,16159
ओर्,26176
ध्य्,8379
श्च्,1461
आई,17331
स्ट्,11014
र्द्,1702
ध्इ,11562
इए,3819
आग्,11734
आव्,28535
इप्,11920
आत्,25542
क्य्,4239
घ्अ,39392
द्य्,7376
स्उ,3410
ण्ई,3884
च्ए,8472
आण्,4630
ईत्,4111
ळ्अ,2098
झ्अ,18946
ड्ऊ,821
झ्आ,3807
म्ई,30477
भ्ऊ,2582
म्इ,10206
त्य्,11835
घ्ओ,1883
एर्,9767
व्ई,17213
एश्,32765
अभ्,4072
एत्,15800
म्ब्,666
र्ष्,10215
म्ऊ,5420
ईर्,6885
फ्इ,18391
ल्म्,9650
उस्,38730
अंच्,27549
इश्,20301
श्आ,16107
ट्इ,986
न्द्,5887
र्ए,41237
आथ्,1010
आल्,30367
न्अं,3077
र्च्,7168
आट्,5880
द्ऊ,13372
न्ओ,12361
र्ग्,3847
ण्य्,1484
ओक्,8267
ड्आ,16713
द्व्,9214
उत्,13109
र्थ्,5389
ज्उ,2179
श्उ,9011
ऑन्,3561
ऊन्,10880
ष्य्,2250
म्भ्,776
ऐच्,4727
अंत्,23476
न्य्,4286
व्य्,10913
अश्,2332
म्उ,14195
ख्य्,12251
इख्,7138
ऊट्,5431
र्ट्,6849
आब्,1636
ऐर्,5481
अंभ्,3782
ग्र्,4160
अथ्,1486
र्उ,13580
क्ऑ,1233
ज्ञ्,4843
र्ऐ,1496
ड्ऑ,5338
आअं,8078
ध्ए,3118
अव्,5604
अस्,12613
च्इ,4558
ठ्ए,2066
उण्,3051
ट्ऊ,1197
ईअं,7538
उग्,3106
उप्,4824
य्ई,4239
ओन्,12084
अब्,16768
ऑफ्,3621
ऊत्,6586
ट्आ,6295
र्अं,3883
ष्आ,2085
र्म्,12297
त्म्,713
ईय्,10439
न्ऐ,1028
स्इ,15701
अंब्,5797
र्ड्,5741
श्व्,5590
ड्इ,6984
आच्,3811
प्त्,6509
अय्,11325
द्ध्,5745
त्अं,1242
स्ल्,1318
त्व्,2933
आक्,952
फ्ई,5191
ईल्,4947
क्क्,332
आओ,1762
ईस्,1209
ईन्,3260
ण्ए,1921
ब्इ,4712
श्र्,6181
ठ्ई,2183
ल्य्,3074
च्य्,2164
म्र्,549
अंह् ,11593
इद्,1831
एद्,6005
श्ई,7083
ळ्ई,844
य्उ,4310
त्अः,651
इड्,1916
प्इ,2517
क्ल्,582
ऐज्,782
ञ्आ,782
उव्,3038
क्अं,4707
अंश्,1884
अह् ,1661
ष्इ,3589
स्प्,1259
अष्,1259
उद्,2532
आश्,2242
श्ए,3441
त्औ,2814
स्य्,3079
थ्य्,466
श्ओ,1783
न्ध्,675
त्स्,657
द्अं,1147
ल्उ,146
द्र्,5247
म्ऐ,42
म्ह् ,235
अंथ्,1103
भ्औ,63
इण्,1653
ऐल्,1613
ण्ड्,1833
ञ्अ,849
न्त्,1941
न्म्,2148
श्य्,1520
स्व्,1916
भ्इ,2435
न्न्,2875
ष्ण्,1094
ग्उ,2029
ख्इ,440
ळ्आ,850
उओ,1476
र्श्,857
ङ्अ,308
व्र्,11
अढ्,996
अंज्,1282
ओब्,188
ऊण्,429
ल्ह् ,5
ळ्ए,1064
आठ्,1117
य्इ,788
