item,frequency
आव्,21313
एद्,4709
अन्,121504
क्अ,471574
र्अ,820453
न्ए,265486
क्ई,223110
आख्,2584
इर्,6072
त्आ,139168
र्ई,110025
ख्अ,58870
ज्अ,180446
न्अ,373711
व्अ,169597
ह् ऐ,296937
इत्,40061
द्उ,12783
द्ओ,26275
ह् अ,260437
म्आ,121909
र्ए,78258
ल्इ,95708
क्इ,186571
ज्इ,47136
त्अ,269949
न्आ,146993
प्य्,2610
आर्,98845
न्इ,70459
य्आ,209481
आप्,41953
अक्,127220
द्इ,76459
ब्अ,223874
स्अ,346176
उत्,14750
ह् ई,134308
म्ए,278533
भ्ई,83802
म्इ,48592
ल्अ,283013
ज्आ,122853
म्ओ,20252
द्ई,39081
क्आ,260748
क्ए,362875
प्अ,286224
ल्ए,118610
र्य्,20231
आल्,22127
त्ई,59899
ल्आ,116431
क्ओ,184509
ब्इ,25227
ग्अ,155510
थ्आ,49575
ह् आ,119111
अंक्,19679
य्अ,177971
र्आ,139349
ज्य्,17746
अस्,45942
अभ्,19208
प्आ,74630
ह् ओ,114160
भ्आ,62703
व्अं,3220
प्र्,114092
अम्,56240
ओद्,759
म्अ,256282
ब्ए,19650
ट्ई,25517
प्ऊ,28811
च्इ,13869
ऐस्,15080
स्थ्,20937
एक्,67227
न्य्,11726
आय्,24757
र्ण्,5837
स्आ,105158
र्व्,15444
अज्,7888
इक्,54438
व्इ,96088
त्त्,10845
इस्,104393
त्ए,75950
स्अं,56563
ध्अ,34914
न्ओ,26478
अंट्,9904
उप्,17229
ओग्,7888
व्आ,124320
व्य्,16293
अव्,33707
अह् ,7655
और्,117043
ग्र्,16644
व्र्,3531
द्अ,151065
थ्इ,7549
अब्,24921
अंध्,9308
इष्,2355
क्ष्,47316
र्ऊ,28611
ढ्आ,7581
च्अ,68990
स्प्,7198
ड्ई,26374
स्ई,50876
एच्,2548
च्ए,10017
म्ऐ,22074
व्ए,26536
अट्,6262
ड्ड्,1448
ब्ऐ,14793
ठ्अ,15840
म्औ,13479
ज्ऊ,10133
थ्ए,17391
आम्,15906
च्उ,20583
श्अ,90724
क्उ,33895
ग्औ,3137
स्ए,184676
अध्,33480
व्ओ,9609
ट्अ,98412
ह् उ,64373
अर्,102925
अल्,44002
ऐअं,3021
ड्अ,40898
ल्ल्,12765
एब्,2483
आज्,21725
इय्,45703
ब्र्,6955
अअं,16607
र्र्,3337
आष्,790
ट्र्,15759
ईय्,8209
क्र्,20182
एट्,8572
आस्,24266
ऐल्,1066
आन्,60338
ड्ए,20504
र्क्,6607
ख्इ,13073
फ्अ,32768
अद्,27463
इव्,4371
ब्य्,1440
उम्,9053
ह् ए,44263
उन्,58738
अंन्,22235
प्ई,25471
छ्ए,4711
श्इ,26408
स्त्,26633
ख्ए,12533
ग्ए,26851
ल्ऐ,2399
अंड्,11208
ऐत्,817
इह् ,2180
ट्ए,16873
स्ट्,24845
ह् इ,41429
स्स्,3968
ज्उ,10060
ब्ऑ,4013
फ्इ,23880
इज्,3295
त्ओ,41258
ख्उ,9902
ब्आ,100704
ट्इ,9965
इट्,9344
ईज्,988
ज्ऐ,9555
इल्,14240
इअं,28239
व्ऑ,1372
इन्,29492
अंज्,3158
य्ए,36372
अच्,14884
छ्आ,11380
क्ऑ,8187
म्प्,2975
एस्,18912
प्ए,16904
ग्ऑ,110
छ्अ,30776
अप्,58995
ख्ओ,5468
ब्द्,2045
ओअं,108610
च्आ,43883
ऍन्,72
र्इ,60150
ण्आ,8680
ष्ठ्,3370
क्ऐ,11618
उक्,3345
ऊल्,5231
द्आ,38918
त्र्,42436
उट्,709
य्ओ,35276
ठ्ई,3785
अंग्,44570
अग्,22827
अण्,16129
श्ओ,8341
र्त्,13704
आओ,3170
स्ऊ,14246
च्ई,10858
ष्ट्,13078
ल्अं,5558
ब्ई,27085
अंछ्,282
म्उ,47774
द्ऊ,15834
र्ओ,46761
त्उ,10235
आश्,7433
अय्,21816
छ्ओ,6635
र्ऐ,4335
ब्ऊ,5753
उल्,5242
न्ई,56969
अत्,54157
र्ध्,1843
आक्,9383
ष्इ,3645
ज्ई,31994
आई,20860
त्ऐ,5752
एग्,11129
क्औ,3060
ट्आ,15823
ल्क्,4762
द्द्,4573
ख्आ,29908
द्औ,11616
स्क्,13395
ग्ई,38605
आग्,11040
स्व्,17890
य्ऊ,11893
एन्,10668
अंत्,18009
क्स्,6155
र्उ,24253
श्उ,17383
त्इ,34506
ल्ओ,43839
एल्,10156
एअं,37630
फ्आ,11786
स्औ,4052
अंप्,4627
ल्ई,49750
र्न्,3797
आअं,23333
प्ओ,11536
ड्आ,26208
अंस्,12389
ड्क्,8522
ग्आ,61885
आए,6494
द्ए,72579
श्ई,9520
ज्ए,16984
ऑप्,1441
आइ,9134
ऑम्,143
र्स्,5944
द्व्,12091
ड्ओ,4863
प्उ,35767
थ्ई,22962
ज्ओ,26086
एर्,5574
ख्ई,3966
भ्अ,31229
ह् ऑ,1669
ग्ओ,24169
थ्अ,44229
ह् ऊ,7275
ट्ऑ,1420
श्आ,33464
य्उ,12071
ग्इ,9887
फ्ट्,1616
स्उ,33646
अंद्,25531
ष्अ,23455
ण्अ,32151
उठ्,5238
उच्,3598
ध्आ,23872
एव्,8543
ढ्य्,28
क्त्,11447
आध्,12069
एय्,3685
ओर्,9683
ध्य्,9107
श्च्,3567
इम्,8242
ड्ब्,282
अड्,5849
ध्ई,4826
ओव्,2225
ऑल्,1091
ओथ्,106
छ्ई,2559
द्ध्,7702
र्ज्,10477
इए,6646
र्ट्,18471
आत्,22328
क्य्,16019
घ्अ,21861
ल्ऊ,4058
उद्,6640
ब्ओ,11254
र्ड्,9181
फ्ऐ,7346
आद्,26118
ठ्इ,2155
ण्ई,2053
घ्उ,2277
ळ्अ,1743
झ्आ,5854
ड्ऊ,1333
न्उ,4505
म्म्,8637
फ्र्,3264
ऐक्,2001
ग्ज्,241
ट्ट्,3258
ईन्,4684
भ्ऊ,6941
त्य्,10448
घ्ओ,4656
ढ्ओ,929
घ्ए,1622
व्ई,17297
र्द्,6946
एश्,23206
एत्,11472
म्ब्,3818
र्ष्,11653
म्ऊ,7503
ल्म्,9568
च्च्,8522
ईक्,6829
उस्,41758
झ्ए,5530
म्ह् ,1852
उअ,358
ब्उ,10777
ध्उ,2153
ऐप्,928
अंच्,21989
ओड्,2633
इश्,7019
द्र्,8790
न्द्,7398
आथ्,1524
न्अं,3152
व्ऐ,5905
म्ई,24494
ईण्,2208
र्च्,8197
अंव्,7069
इध्,1780
स्य्,6585
क्क्,4291
घ्आ,5212
र्ग्,6925
ईल्,5198
ड्त्,2636
प्अं,8843
ग्उ,16177
ण्य्,2815
ऍड्,81
न्व्,355
ईआ,836
फ्ओ,7284
थ्ओ,2963
ह् अं,2610
ढ्क्,936
आफ्,2189
ब्ज्,1608
ओल्,4077
प्इ,14312
द्य्,4909
र्थ्,5238
म्ऑ,1811
ष्य्,2299
एप्,1646
ढ्न्,1326
म्भ्,578
आउ,2777
अश्,13434
ढ्ए,3699
इफ्,1404
त्अं,3422
ष्प्,681
ऊन्,3186
उभ्,1981
फ्अं,1728
ऊप्,3312
उछ्,292
ख्य्,12863
स्ओ,14624
र्श्,3500
छ्ऊ,1363
य्ई,5339
ह् न्,232
ड्न्,2579
ह् औ,1269
ल्ड्,2235
त्व्,6107
ऊर्,6473
क्अं,11378
औप्,371
त्औ,3663
य्इ,1098
त्अः,331
ईव्,1667
ग्ग्,725
स्ऐ,4788
आब्,3010
फ्ए,5447
भ्ए,4985
अंभ्,1431
च्ऊ,2257
ल्ह् ,1230
भ्ओ,2879
अथ्,2061
आह् ,10802
स्इ,40787
र्फ्,4003
च्ऐ,3057
ज्ञ्,5876
ओज्,5361
ड्ऑ,5469
ओप्,8399
ऑन्,2149
ग्ऐ,3489
ल्प्,2850
ध्ए,2630
क्ट्,5518
एफ्,2558
आच्,5217
अंब्,4402
ठ्ए,2542
एम्,11727
उख्,3248
ब्अं,14969
आभ्,1490
प्श्,228
फ्ई,12207
ड्ढ्,302
घ्र्,573
ऊट्,1662
ट्ऊ,3939
झ्अ,7392
न्औ,4809
न्न्,6455
प्ऐ,8526
ध्इ,7467
श्क्,1465
ज्र्,2126
झ्औ,931
भ्उ,2444
श्ए,9931
ल्स्,980
थ्उ,519
ठ्अं,633
फ्ल्,1654
ऑर्,1488
ऑफ्,4055
ठ्आ,4229
आठ्,2366
ग्ऊ,2733
ओण्,305
ब्ल्,4031
इड्,2420
ग्य्,1520
ढ्अ,2691
ईओ,633
ईड्,893
र्अं,8533
म्अं,22892
ज्ज्,788
ष्आ,3386
र्म्,23412
च्ओ,3787
त्म्,3585
ण्ओ,811
इद्,3313
न्ड्,363
ख्ऊ,2595
न्ऐ,1419
ऑक्,1505
ड्ऐ,284
ड्इ,24578
ग्व्,622
भ्अं,919
श्व्,7854
इग्,1406
ऑट्,956
ख्स्,634
ल्औ,1929
ज्औ,400
ईर्,6925
भ्इ,3757
ऊत्,544
च्य्,2230
प्त्,5945
फ्ऊ,1793
श्र्,12405
ट्ओ,6007
व्उ,1995
ट्ऐ,2235
ल्ऑ,2315
उर्,5191
ध्र्,517
र्भ्,2179
प्ल्,4251
क्ल्,3636
ईम्,4437
च्अं,3883
स्ल्,2022
ञ्आ,726
ल्उ,2753
ग्ल्,2049
ऐम्,172
म्र्,2791
एड्,5226
ऊअं,2896
इब्,2148
ईस्,2251
ओन्,1000
ण्ए,1801
य्अं,3638
ओस्,1649
ईए,2298
श्म्,3349
फ्त्,5108
त्क्,1831
न्ह् ,3271
थ्य्,2846
र्ब्,862
अंह् ,13557
ण्इ,1203
त्थ्,919
छ्इ,1160
ऊच्,753
त्न्,2679
श्त्,1778
छ्उ,1815
ऋत्,244
घ्य्,96
ध्ओ,2556
न्ऊ,5198
ऐथ्,129
आण्,6890
ळ्ई,678
ऐफ्,284
ध्ऊ,1326
उड्,2113
ड्र्,3211
भ्र्,1843
त्प्,209
ओह् ,1232
एख्,580
इप्,2496
अःख्,182
ज्व्,652
ण्उ,882
ऑस्,1195
क्व्,1588
अंश्,1192
त्ऊ,1909
घ्अं,2207
श्ऊ,1328
इच्,1253
म्य्,1354
उए,304
ल्य्,4714
द्घ्,292
उण्,753
क्श्,1735
द्म्,459
अष्,2586
ग्अं,4952
स्फ्,517
ओट्,1262
य्औ,639
ल्थ्,359
ट्ठ्,383
एज्,5648
ईप्,1463
श्न्,563
ओई,232
एण्,837
ढ्ई,1459
ठ्य्,375
ऐर्,249
औल्,708
ऊज्,2193
स्म्,3197
ट्स्,1090
च्औ,6160
ख्अं,2688
स्न्,970
श्ऑ,841
ल्त्,213
ईब्,762
घ्ऊ,891
द्ऐ,947
ल्ट्,1558
फ्फ्,348
भ्ऐ,419
ईत्,2058
उअं,2015
न्ट्,371
र्ल्,1507
ईच्,572
ल्द्,2877
अख्,3018
त्ल्,139
ऋण्,589
अंम्,103
ओत्,2657
ष्ण्,1909
ष्म्,198
ऑड्,737
उज्,989
त्स्,1852
ओक्,3103
द्अं,1556
ढ्त्,2122
ट्व्,2158
ईट्,2391
श्अं,1333
ख्र्,198
ईद्,929
उथ्,422
अफ्,4347
आड्,1622
च्छ्,524
उब्,847
अढ्,1300
ब्औ,573
ख्त्,1484
प्ट्,1146
ईअं,1570
ध्व्,677
स्र्,888
ओफ्,671
ड्उ,862
स्ब्,381
न्अः,195
भ्औ,369
एई,120
ईश्,1486
ड्य्,873
इण्,2202
श्ऐ,1389
झ्ई,334
आऊ,260
ण्ड्,1867
न्ध्,338
ईढ्,48
ञ्अ,100
न्त्,1943
र्औ,358
न्म्,2308
श्य्,2332
ऐय्,570
ओम्,1051
श्औ,777
ह् व्,33
र्ऑ,1209
ठ्ओ,779
न्स्,743
ड्औ,62
ऐध्,945
ऊब्,523
प्औ,1239
प्प्,2073
ष्ए,554
ड्छ्,241
एए,855
क्ऊ,2422
ष्ई,1062
ओच्,1137
ज्अं,1501
ग्ण्,119
ट्उ,782
ब्ब्,1026
झ्उ,821
उध्,1001
आट्,1792
ऊष्,821
ध्औ,174
ल्फ्,388
औत्,398
ऊद्,357
ग्ध्,453
श्ल्,587
एष्,1234
ईग्,198
म्न्,343
ड्अं,341
ड्ख्,53
इभ्,1106
ब्त्,329
ड्प्,336
प्ऑ,1588
झ्ऊ,1014
ऊक्,301
थ्ऑ,74
ज्ऍ,8
ट्य्,886
ज्ऑ,914
घ्ई,383
अंथ्,479
प्स्,259
उग्,585
ळ्आ,613
ओध्,1605
ग्न्,622
ङ्क्,168
ष्क्,966
प्व्,127
फ्उ,1801
फ्ऑ,1616
ऐग्,119
फ्औ,383
क्ख्,148
ज्न्,317
ण्ट्,68
औट्,67
ऐन्,461
ज्म्,476
ईफ्,172
इख्,168
औद्,981
ऊठ्,126
ळ्ए,476
य्य्,130
र्प्,1286
अझ्,234
औच्,161
उव्,748
झ्इ,173
घ्इ,352
ओख्,246
थ्र्,290
ऐश्,389
इथ्,1134
स्ऑ,713
व्ह् ,1228
ओष्,540
र्घ्,785
ऊम्,719
ओब्,930
एह् ,632
ऑग्,608
ल्ग्,36
औज्,193
अंघ्,428
ओआ,40
न्च्,686
एआ,280
उष्,880
ऊड्,677
एथ्,274
उळ्,487
ह् र्,453
ब्स्,486
अळ्,249
व्ऊ,208
ल्व्,261
ऊख्,59
आढ्,167
आळ्,221
ईअ,81
ग्स्,122
क्च्,216
ओए,318
झ्ओ,443
न्ऑ,662
ड्स्,195
ष्ओ,532
अंढ्,420
इआ,99
थ्व्,460
ख्व्,293
एअ,47
ठ्ठ्,129
फ्य्,211
अआ,140
द्भ्,98
उह् ,95
उआ,374
ऋष्,585
ल्च्,129
ख्ब्,430
इअ,30
य्ऑ,74
भ्य्,297
औन्,248
औस्,660
ख्ऐ,325
ऐब्,23
ट्अं,195
स्ख्,208
ऐट्,456
त्फ्,80
र्ख्,536
ओश्,515
स्ज्,512
औअं,179
ब्ध्,103
उश्,377
क्द्,157
म्स्,425
ल्श्,84
ध्अं,234
ऑइ,249
ऑय्,625
इओ,86
अघ्,246
ऊढ्,138
अठ्,100
ड्ग्,115
ठ्औ,191
अंख्,273
ऊण्,275
ऊआ,54
ख्म्,186
औह् ,172
ट्औ,468
उओ,723
ऍक्,127
ऐद्,138
र्ह् ,43
ईष्,293
ऍश्,13
ग्ट्,26
ऊथ्,55
ळ्य्,157
अऍ,6
ओभ्,32
ध्ऐ,139
ल्ब्,88
एळ्,72
ख्औ,166
अंअः,57
ल्ज्,68
ऊस्,275
ज्ब्,284
ईअः,90
स्च्,19
ठ्ऊ,37
एऑ,38
झ्अं,477
ड्व्,120
ढ्इ,323
ण्ऊ,204
ढ्अं,488
ग्ऍ,19
आऍ,266
उफ्,79
ऊश्,110
अंय्,91
अःश्,104
स्ड्,68
ऐण्,56
क्ऍ,117
ओय्,42
उघ्,128
ठ्उ,235
ग्म्,52
आअः,9
ऍट्,37
ओढ्,80
अंर्,65
क्न्,467
ईह् ,25
ऊफ्,96
अंठ्,437
ज्ग्,97
उय्,103
ऑअं,31
ढ्ऊ,366
न्र्,317
ऍच्,21
थ्ऊ,79
ण्ण्,40
ह् य्,225
ऑज्,386
आघ्,209
ऊय्,216
ऊव्,117
थ्ऐ,147
ब्ऍ,45
ज्ल्,93
ऑब्,115
न्ज्,60
ऍम्,33
च्ऑ,128
ऐड्,51
ष्उ,107
न्फ्,315
ऐच्,31
ओळ्,69
औढ्,22
ध्द्,114
ईठ्,92
न्ऍ,10
म्ऍ,37
ज्द्,137
ईध्,49
औड्,273
ळ्ऊ,90
औष्,225
न्ग्,217
ईभ्,32
ओझ्,101
ल्ऍ,8
ड्फ्,105
ईई,54
ऍल्,75
ळ्अं,7
ब्व्,74
अंफ्,119
ऐव्,113
व्ल्,35
उई,107
अंझ्,111
ऍप्,52
न्श्,3
ऊह् ,31
क्फ्,73
फ्ऍ,26
ऊळ्,7
ढ्व्,57
आऐ,99
घ्न्,27
ड्म्,54
व्व्,84
ख्श्,105
ऍण्,10
द्ग्,36
ट्ऍ,18
ह् ह् ,110
ण्अं,25
छ्अं,29
एठ्,127
ह् ऍ,18
ह् म्,40
एध्,5
श्अः,17
ळ्ओ,5
औम्,36
ऐष्,54
एइ,41
ऐह् ,60
ड्ल्,67
ळ्उ,14
उझ्,10
थ्अं,30
ऍग्,22
अःच्,11
प्ऍ,43
ख्ख्,3
ङ्अ,74
ऍअं,22
झ्य्,35
ऍस्,19
ळ्इ,3
आझ्,7
र्ऍ,15
स्ऍ,7
ऑव्,6
अःल्,3
ऍर्,9
उढ्,4
ईळ्,3
आअ,1
ऍब्,15
च्ऍ,5
इझ्,7
इळ्,1
ग्द्,7
ओअ,1
क्म्,1
ऑई,3
आआ,6
अःह् ,2
ऍथ्,1
