item,frequency
र्अ,998659
क्अ,565148
न्अ,490494
स्अ,467203
क्ए,403141
प्अ,370214
ल्अ,322794
न्ए,308334
क्आ,304067
ह् ऐ,296989
म्ए,293786
म्अ,285903
त्अ,285516
ह् अ,262337
ए,260373
अ,250340
क्ई,243146
ब्अ,230684
य्आ,223239
स्ए,215169
आ,204702
क्ओ,201138
ज्अ,197097
व्अ,185981
इ,184839
क्इ,184817
य्अ,183308
न्आ,166796
र्आ,162090
उ,159786
ग्अ,156455
द्अ,152625
त्आ,148297
व्आ,141358
ह् ई,135018
म्आ,130955
ल्आ,130797
ल्ए,127076
ह् आ,124391
ज्आ,121971
स्आ,120395
औ,118087
श्अ,110996
र्ई,108496
ल्इ,108179
ब्आ,105933
व्इ,100273
ह् ओ,97193
ट्अ,90951
भ्ई,86447
प्र्अ,86339
ई,83365
न्इ,83111
द्ए,82445
द्इ,79700
प्आ,78964
न्ई,78728
त्ए,76794
र्ए,76267
र्इ,75309
भ्आ,67268
ग्आ,66653
य्ओ,65750
स्ई,65749
त्ई,65041
ह् उ,64490
च्अ,63709
र्ओ,61817
ख्अ,59308
ल्ई,58649
म्इ,55347
द्आ,55305
त्इ,53065
म्उ,51576
ल्ओ,50696
ज्इ,50032
ण्अ,48389
च्आ,48254
थ्आ,44957
स्इ,44647
ह् इ,42883
त्ओ,42806
ग्ई,42470
थ्अ,42233
द्ई,40673
श्आ,40017
ह् ए,38138
य्ए,37741
प्उ,37099
फ्अ,37064
ओ,35566
ज्ई,35156
ध्आ,34170
क्उ,33956
स्उ,33920
न्ओ,32956
र्ऊ,31543
प्ई,31483
भ्अ,31399
व्ए,31312
प्ऊ,31193
ख्आ,30775
श्इ,30315
ट्ई,29767
छ्अ,29220
ब्ई,28662
ध्अ,28567
ड्अ,28465
म्ई,27825
ज्ओ,27709
ध्इ,27640
ग्ए,27250
र्उ,26225
द्ओ,25986
फ्इ,25740
ब्इ,25322
अंग्अ,25037
ड्ई,24647
ड्आ,24438
ग्ओ,24110
क्ष्अ,23239
म्ओ,23157
