item,frequency
आ,705275
व्ए,28745
द्अ,251074
न्अ,706307
क्अ,723671
र्अ,1482813
न्ए,285590
क्ई,235054
ख्अ,106539
इ,697396
ई,290351
त्अ,403701
र्ई,78368
ज्अ,283573
व्अ,279230
ह् ऐ,289495
द्उ,11093
द्ओ,22111
ह् अ,332622
म्अ,511460
र्ए,46783
ल्इ,65047
ए,544177
क्इ,180329
न्आ,124206
प्अ,585641
य्आ,254823
न्इ,24669
क्ओ,192569
द्इ,55561
ब्अ,366224
स्अ,722332
उ,400809
ह् ई,122737
भ्ई,84328
ल्अ,484621
ज्आ,114092
ओ,329677
द्ई,34952
क्आ,289014
क्ए,388807
ल्ए,110890
र्य्अ,15381
म्ए,271459
त्ई,59702
ल्आ,111103
ग्अ,254645
थ्आ,44007
ह् आ,120670
अंक्इ,8013
य्अ,249596
र्आ,112441
ज्य्अ,9571
भ्आ,53157
प्आ,49469
ह् ओ,93058
भ्अ,76336
अंग्अ,53445
त्आ,136401
ट्अ,213138
प्ऊ,29798
च्अ,149690
ऐ,125998
स्ई,56710
स्थ्इ,5997
त्इ,45371
र्ण्अ,4274
स्आ,86519
र्व्अ,10677
व्इ,96435
स्त्ए,2620
म्आ,118492
ध्अ,51571
अंट्अ,18453
व्आ,134344
औ,167713
र्थ्इ,1806
ब्अंध्अ,4369
ष्अ,36871
क्ष्अ,23032
र्ऊ,17705
ड्ई,26604
ट्ई,25955
अंक्अ,18157
ड्अ,81713
ठ्अ,26318
ज्ऊ,7161
थ्ए,17149
च्उ,8284
श्अ,217667
क्उ,23503
स्ए,206973
अ,246956
ध्इ,26053
प्र्आ,4997
प्त्अ,9655
ह् उ,47633
अंड्अ,28365
ल्ल्ए,2863
ब्आ,86139
अंत्अ,17855
ष्ट्र्ई,4607
क्र्इ,4133
र्क्अ,3256
फ्अ,111711
य्ऊ,6798
ह् ए,38365
न्ह् ओ,16937
अंन्ए,17971
प्ई,28104
छ्अ,55712
स्त्आ,4623
ख्ए,11246
ग्ए,29005
स्इ,16824
स्ट्अ,13402
ह् इ,25295
स्स्आ,1795
ऑ,43700
ऊ,117322
त्ए,68769
त्ओ,38122
ज्ऐ,4778
य्ए,34768
च्छ्आ,3152
ल्प्अ,2978
क्ष्इ,3077
च्आ,38712
ऍ,1733
र्इ,21399
ण्आ,9426
प्र्ष्ठ्अ,367
प्र्अ,46670
र्श्अ,4025
य्ओ,61252
ण्अ,62910
न्ई,60336
स्ऊ,1450
च्ई,9917
ब्द्अ,1670
द्आ,40317
श्इ,5675
ष्ट्अ,6086
ब्ई,29002
र्ओ,26657
त्उ,3388
छ्ओ,1464
ट्ए,1464
स्थ्आ,11719
प्इ,3546
ध्ई,8321
ज्ई,35725
त्ऐ,4433
ग्आ,56906
ख्आ,29426
द्औ,7296
स्क्ऊ,4069
ग्ई,40594
त्त्इ,1746
ध्आ,32487
म्अंत्र्ई,9846
क्स्अ,5367
ष्ट्र्अ,5171
फ्आ,5870
ल्ओ,34528
ज्इ,29340
ल्ई,49042
अंस्अ,17821
द्ए,77916
ज्ए,18233
ब्ए,4473
र्त्अ,6980
प्उ,13642
स्त्अ,22408
थ्ई,21254
ज्ओ,22029
ख्ई,3516
थ्अ,63917
ल्ल्ई,8004
अंद्अ,29038
ब्ऐ,2
क्त्अ,14602
ठ्आ,6205
च्च्अ,2262
ढ्अ,9521
ग्ओ,12986
ड्ए,16159
र्ट्अ,5286
ध्य्अ,10707
श्च्इ,2791
म्ई,33178
र्द्ध्इ,1339
क्य्ओ,4239
घ्अ,36261
द्य्अ,6174
स्उ,3410
क्ष्आ,11862
र्ड्अ,7847
ण्ई,4263
च्ए,8719
ळ्अ,2099
झ्अ,18946
ड्ऊ,821
झ्आ,3807
न्ह् ए,8959
भ्ऊ,2582
म्इ,11216
त्य्आ,7526
घ्ओ,1883
व्ई,17213
र्द्ए,363
भ्इ,3638
म्ब्अ,677
र्ष्अ,7768
न्य्अ,7069
म्ऊ,5420
फ्इ,18391
ल्म्अ,9650
त्र्ई,1456
त्र्अ,27656
अंच्अ,19038
श्आ,19781
क्त्इ,5319
र्ष्ट्इ,986
न्द्र्अ,1224
क्ष्ए,7952
र्च्अ,7168
र्ष्ओ,962
द्ऊ,13190
अंच्आ,5325
न्ओ,12361
र्ग्अ,3847
ध्य्ए,598
ण्य्आ,1484
अंग्आ,5582
ड्आ,16713
द्व्आ,9214
र्थ्अ,7429
ज्उ,2179
श्उ,9011
ष्य्अ,2250
प्र्इ,685
म्भ्अ,776
अंत्र्अ,13452
स्अंस्थ्आ,2765
न्य्ऊ,3003
व्य्अ,8656
श्य्अ,3334
म्उ,16911
ख्य्अ,8964
स्अंस्क्र्त्इ,819
अंग्उ,160
र्ट्ई,6849
अंभ्इ,236
ग्र्ई,1736
र्उ,17661
क्ऑ,1233
ज्ञ्आ,2595
प्र्ऐ,1496
ड्ऑ,5338
ध्ए,3118
ष्ठ्अ,4064
च्इ,3228
ठ्ए,2066
क्ट्ऊ,1197
त्र्आ,2907
अंग्ल्आ,766
अंद्र्अ,5214
य्ई,4239
स्अंघ्अ,3131
ब्ध्अ,2385
त्र्ओ,1316
न्द्अ,2919
ट्आ,6295
त्य्अ,3760
र्अंग्अ,2891
ष्आ,2079
र्म्अ,3806
त्म्अ,713
अंद्ई,1379
न्ऐ,1028
अंब्ई,2596
न्द्ई,792
श्व्अ,6584
ड्इ,4160
अंच्य्आ,1165
च्य्आ,2167
ध्य्आ,2943
द्ध्अ,8159
त्अंब्अ,1242
स्ल्इ,1318
त्व्अ,3605
ज्ञ्अ,3030
स्अंख्य्आ,2718
क्र्त्इ,1286
फ्ई,5191
ध्उ,524
अंक्आ,3321
क्क्अ,332
ण्ए,1921
ब्इ,4712
श्र्ई,6181
ठ्ई,3300
ल्य्आ,3321
म्र्त्य्उ,549
अंह् अ,11593
र्व्आ,499
व्य्आ,2257
श्ई,7322
ऋ,1537
क्र्अ,4919
र्म्आ,7718
ण्इ,760
ळ्ई,844
अंन्ई,1865
य्उ,2964
त्य्ए,870
अंच्ई,2320
अंड्इ,2824
क्ल्अ,582
स्क्आ,956
स्त्उ,1873
अंभ्अ,3546
क्अंप्अ,4707
अंत्इ,1500
अंश्अ,2389
र्अंख्अ,403
अंब्अ,3273
ग्र्अ,1146
ष्इ,3586
स्अंब्अंध्इ,1360
स्प्अ,1259
ल्ल्आ,961
श्ए,3441
र्त्इ,905
स्अंब्अंध्अ,3057
त्त्अ,4704
त्औ,2814
स्य्अ,3079
थ्य्अ,465
स्अंस्क्अ,309
श्ओ,1783
त्त्आ,2223
न्ध्अ,670
त्स्आ,650
न्उ,4314
म्अंद्इ,2814
ल्उ,146
द्र्अ,5247
म्ऐ,42
थ्इ,660
द्य्आ,2514
म्ह् ओ,5
अंन्आ,669
अंथ्अ,1103
स्अंय्उ,1346
भ्औ,63
ण्ड्अ,1902
स्अंव्इ,878
ञ्अ,849
न्त्अ,1210
न्म्अ,2148
म्ह् अ,230
ण्ऊ,159
स्व्अ,1916
न्न्अ,2875
क्र्ष्ण्आ,287
ग्उ,2031
ख्इ,911
ळ्आ,850
न्द्ऊ,657
स्ट्ए,1174
न्त्उ,869
अंस्क्र्त्इ,455
र्म्इ,773
र्ष्आ,499
ङ्अ,308
व्र्ष्ट्इ,11
त्र्इ,449
त्त्ई,917
र्अंत्उ,589
अंज्अ,1282
त्प्अ,440
क्र्त्अ,984
स्अंस्क्र्त्अ,268
ल्ह् आ,5
त्प्आ,1024
ळ्ए,1064
र्व्ई,438
न्त्इ,47
य्इ,788
म्स्अ,777
स्अंग्ई,831
ब्द्ई,186
क्र्ष्ण्अ,807
न्द्आ,84
व्ऊ,193
ब्र्इ,363
ट्इ,363
प्र्थ्व्ई,477
अंग्र्ए,756
र्ज्आ,856
र्श्इ,262
अंग्ल्इ,141
ब्औ,306
ख्य्आ,569
ढ्ए,402
ऎ,127
न्अंत्अ,366
अंव्अ,417
न्द्इ,138
स्अंग्र्अ,515
र्द्ऊ,182
क्ऊ,175
न्त्र्अ,39
भ्ओ,257
अंव्आ,52
ष्ट्र्इ,18
ग्ऊ,45
ष्म्अ,47
न्य्आ,207
प्औ,152
क्ट्ओ,2
न्द्र्इ,73
ह् य्आ,12
स्त्र्ई,59
प्र्थ्अ,61
स्अंव्अ,49
ल्म्ओ,36
अंच्ए,123
अंग्र्अ,6
र्न्अ,6
स्अंक्ए,1
स्थ्अ,1
प्व्अ,6
प्ओ,13
स्अंक्अ,34
न्ध्इ,5
त्स्अ,7
छ्इ,3
प्ए,20
ष्ए,6
न्ध्र्अ,12
र्ष्इ,3
ॠ,19
र्ख्आ,7
ग्इ,2
न्छ्अ,1
फ्ऊ,1
ढ्ई,1
भ्ए,2
छ्ए,2
थ्य्आ,1
अःग्उ,1
ग्औ,3
न्ड्ओ,3
ग्र्ए,1
