item,frequency
द्अन्अ,5627
क्अर्अ,187338
इर्अ,32051
आर्ई,11473
ज्अन्अ,14023
व्अर्ई,1842
त्अन्अ,9143
ह् अम्अ,24817
आर्ए,5546
ल्इए,51629
इत्अ,30415
द्उन्इ,3256
द्इय्आ,20707
इल्अ,34491
स्अर्अ,27250
क्आर्अ,42897
प्अह् अ,18854
क्आर्य्अ,14177
क्आल्अ,5734
त्ईन्अ,6420
ल्एक्अ,10128
ग्अय्आ,29675
ह् आल्आ,3774
त्अब्अ,4547
य्अह् अ,33605
र्आज्य्अ,8772
प्आस्अ,7125
न्अह् ई,46186
प्आय्आ,1418
आज्अ,37878
इव्अ,20556
र्अम्अ,4297
एट्अ,15969
ब्अन्आ,16714
ऐस्ई,2825
स्थ्इत्इ,3230
एक्अ,66174
प्ऊर्ण्अ,2637
स्आर्व्अ,872
ज्अन्इ,872
इस्अ,117293
त्अर्अ,25688
इस्त्ए,2620
म्आल्अ,2620
ध्अन्अ,3091
स्अभ्ई,8585
ओग्अ,4824
व्आल्ए,12738
ह् आर्अ,5800
और्अ,122222
आर्थ्इ,1806
र्ऊप्अ,9022
एय्अ,6066
ऐन्अ,9154
ट्अर्अ,11967
म्अन्अ,3857
एड्अ,7756
य्अक्अ,5063
ज्ऊद्अ,5247
आम्अ,17435
च्उन्आ,8284
क्उम्आ,5434
त्अम्अ,2916
स्अब्अ,13476
अध्इ,14708
ल्आख्अ,5496
ज्आर्अ,5982
ओट्अ,11488
प्र्आप्त्अ,3146
ह् उए,19105
आय्अ,30773
र्अल्अ,2485
ऐअंड्अ,3992
ट्ईम्अ,7237
ट्अक्अ,3813
प्अर्अ,122701
इय्आ,22767
य्अन्अ,3513
अअंत्अ,4545
ष्ट्र्ईय्अ,1534
क्र्इक्ए,2521
य्आस्अ,3758
स्आल्अ,12232
एन्अ,12641
इल्आ,17088
क्इय्आ,35881
स्अफ्अ,2354
र्अह् ए,23875
उन्ह् ओ,16937
इक्आ,11982
क्इए,5245
य्अह् आ,7672
त्अक्अ,20456
प्आक्इ,4623
स्त्आन्अ,4623
ख्एल्अ,5551
ऐत्इ,604
ह् आस्इ,604
एस्ट्अ,3559
ह् इस्स्आ,1795
उन्अ,42940
ह् अन्अ,13460
इट्अ,17869
ख्अन्ए,5231
ऊर्ई,2908
व्अह् अ,25515
क्अह् अ,2260
ज्अब्अ,15710
इम्अ,12477
ज्ऐस्ए,4778
इअंग्अ,14513
इन्अ,41638
ऑल्अ,5778
ल्इय्ए,2803
र्अह् अ,8159
एम्अ,7880
एस्अ,11828
द्अर्अ,17474
क्उछ्अ,14565
अप्अ,39036
क्ष्इत्अ,1424
ओज्अ,8924
स्अक्अ,19823
एज्अ,9287
प्अर्इ,5902
ण्आम्अ,1282
प्र्अद्अ,3430
र्श्अन्अ,3168
उक्अ,22967
ऊल्अ,5949
ह् अत्अ,10057
उट्अ,5345
इय्ओ,31859
अल्अ,4571
ईक्ष्अ,856
च्आह् इ,6472
ओध्अ,4726
स्ऊच्ई,1083
इक्अ,40305
श्अब्द्अ,1670
प्र्अद्आ,1509
व्इश्इ,289
ब्अल्अ,5562
ऊस्अ,4773
त्उल्अ,907
छ्ओट्ए,1464
ह् आल्अ,4656
स्थ्आप्इ,1029
ऐअंक्अ,5442
स्एव्आ,3286
उल्ल्ए,868
य्आप्अ,1229
क्अम्अ,14946
प्र्अत्इ,13365
त्ऐय्आ,4433
आय्आ,4146
र्अह् आ,18333
उल्अ,32004
ख्आन्अ,4967
द्और्आ,7296
स्क्ऊल्अ,4069
आह् अ,20938
ऊक्अ,2770
र्अध्आ,5887
च्आर्अ,13035
व्आर्अ,22642
र्आष्ट्र्अ,5171
प्अत्इ,3866
ओड्अ,4141
एल्अ,10710
र्आज्अ,5061
न्ईत्इ,1842
ह् ओत्ई,5827
क्ओई,12614
य्ओज्अ,4293
ज्इन्अ,777
ह् ओत्ए,4179
ब्आद्अ,26245
श्अन्अ,10864
ल्अर्अ,3465
ज्आर्ई,4952
ज्अह् आ,4570
ऐक्अ,7316
ओल्अ,14131
ल्अग्आ,15255
द्एश्अ,19252
आर्अ,43527
द्एव्अ,1509
द्आर्अ,7130
क्अह् आ,32637
व्अर्त्अ,1717
म्आन्अ,13188
प्उस्त्अ,683
ह् उई,9629
भ्अव्अ,2358
ब्आर्अ,17075
उख्अ,4650
प्अद्अ,5690
ओप्अ,11187
य्अत्आ,1886
र्आम्अ,10637
र्अह् ई,17936
व्आद्अ,5463
ज्इस्अ,16242
च्अन्आ,3915
क्अथ्आ,562
प्उर्अ,9778
आद्अ,7952
ब्अन्अ,7440
द्इल्ल्ई,8004
अंद्अर्अ,3399
स्अब्ऐ,2
उर्अ,14799
ऊप्अ,5464
ह् ओक्अ,1745
क्ष्अण्अ,1120
उच्च्अ,2262
प्अन्अ,8262
ल्ओग्ओ,12915
इय्अ,16598
उक्त्अ,3523
आध्इ,2482
क्आर्इ,505
ल्एक्इ,16262
ल्ओक्अ,5536
ध्आर्अ,4901
व्इच्आ,2663
य्अर्अ,6503
ओर्ट्अ,5286
न्एट्अ,907
भ्आर्अ,20648
म्अध्य्अ,2847
प्ऊर्अ,3340
प्अश्च्इ,1461
ऊर्अ,12438
आई,17331
व्अर्अ,16252
आन्आ,3278
आध्आ,3739
प्र्अक्र्इ,1612
आग्ए,3825
आव्अ,19184
ज्आत्ई,4275
इप्अ,11920
त्ईय्अ,7278
आत्अ,16397
क्य्ओअंक्इ,4239
घ्अर्अ,8310
स्उर्अ,3103
द्एन्ए,5985
ऐस्ए,6264
ओर्ड्अ,2106
आन्ए,6532
ल्इय्आ,7608
य्आद्आ,7507
व्अन्अ,7951
क्आह् ई,304
आण्ई,379
ईत्अ,4111
स्अल्ए,2077
य्एथ्ए,230
य्आच्ए,275
ड्ऊन्अ,381
झ्आल्ए,452
उन्ह् ए,8959
इस्ई,5157
प्र्अक्आ,4897
भ्ऊम्इ,2582
द्इव्अ,1891
द्अय्अ,1487
आय्ओ,1747
घ्ओष्अ,1883
आग्अ,7909
स्अम्अ,12901
व्आल्अ,8774
एर्अ,6432
अम्ए,3335
र्इक्ई,1093
न्इर्द्ए,363
श्अक्अ,363
अभ्इ,1203
न्एत्आ,656
न्आम्अ,9294
न्अव्अ,353
म्ब्अर्अ,666
व्अर्ष्अ,6113
ह् उआ,10193
अन्य्अ,5786
न्अक्अ,2966
म्ऊल्अ,2357
ब्अर्अ,11877
ईर्अ,6885
न्ईच्ए,1571
फ्इल्म्अ,9650
न्एत्र्ई,538
उस्अ,27399
इस्ए,4528
स्आथ्अ,28096
इल्ए,6749
ग्अर्अ,12497
उर्आ,5112
आत्र्अ,5507
इश्आ,3395
श्अक्त्इ,1392
व्इध्आ,3279
न्अस्अ,2818
द्आन्अ,4604
क्एन्द्र्अ,1224
क्ष्एत्र्अ,6636
स्अर्व्अ,4032
आस्अ,16232
क्ईय्अ,991
प्र्आथ्अ,1010
म्इक्अ,1010
आल्आ,2814
अत्इ,1220
र्इक्त्अ,1220
क्एव्अ,2695
व्अर्ष्ओ,962
ओर्अ,18783
आट्अ,5880
द्ऊस्अ,6305
ज्आत्आ,8482
द्ओन्ओ,6297
म्आर्ग्अ,1901
इश्अ,12258
ह् ओन्ए,13413
ज्अल्अ,5832
ह् अर्अ,24699
ब्अन्ई,1608
ह् अत्ई,1827
क्इम्ई,316
ज्आन्ए,8822
य्अत्अ,5125
म्आध्य्अ,1991
अन्ए,1130
ध्आन्अ,2809
म्अध्य्ए,598
ण्य्आत्अ,1103
आल्ए,615
ज्ऊन्अ,1914
ओक्अ,8267
श्अत्अ,2814
म्अत्अ,7510
म्आत्र्अ,1014
द्व्आर्आ,9214
उत्अ,6941
प्अद्आ,575
र्एस्अ,11066
एत्अ,5872
ज्उल्आ,1553
श्उर्ऊ,6940
ऑन्अ,3561
ऊन्अ,10354
स्त्अर्अ,3122
प्र्इय्अ,650
ऐच्अ,4727
एक्आ,714
अक्स्अ,824
उन्आ,3921
ह् ओग्आ,8050
एश्अ,20058
ब्आत्अ,14613
व्य्अक्त्इ,3927
उस्ए,6470
ज्ईव्अ,3645
भ्अर्अ,8129
स्अम्आ,5015
ह् ओन्आ,2548
श्य्अक्अ,1814
आल्अ,22334
ह् ओत्आ,8398
म्उख्य्अ,8964
इख्आ,6667
फ्इर्अ,8741
ऐस्आ,5311
र्इक्अ,3096
ब्आर्ए,5428
ऊट्अ,5431
ब्अह् उ,7997
व्इज्अ,1548
क्इस्ई,11430
प्आर्ट्ई,6849
य्अद्इ,3011
आब्आ,1636
ज्आन्अ,4840
क्आर्ई,9257
ग्अत्अ,7223
स्अन्अ,6719
ऐर्अ,5481
आप्अ,5569
र्ओग्अ,1127
अंभ्इक्अ,236
प्र्अथ्अ,841
अल्आ,3766
प्ऊर्आ,3202
र्उप्अ,10215
क्ऑल्ए,1233
क्अल्आ,1743
व्इज्ञ्आ,785
म्आर्च्अ,1714
अप्र्ऐ,1496
ओज्इ,2109
प्ऊर्व्अ,5773
द्इन्अ,13752
आअंक्अ,1322
ठ्अन्अ,3348
भ्आग्अ,3549
र्एष्ठ्अ,627
व्य्अव्अ,2308
व्इभ्आ,5137
त्अथ्आ,6818
च्इत्अ,2543
अस्ए,534
स्अत्अ,1939
ब्अन्ए,2536
प्र्अम्उ,2716
व्आर्ई,906
अध्य्अ,5869
इत्आ,5081
स्अद्अ,8778
प्र्अद्ए,8968
उण्अ,3051
व्अत्अ,6413
र्इत्अ,833
अक्ट्ऊ,1197
ल्ओग्अ,8456
ब्आह् अ,3929
ज्आन्आ,2507
य्आत्र्आ,2018
क्अम्ई,1918
ज्आत्इ,1203
ल्अग्अ,2336
भ्अग्अ,4083
य्ओग्अ,5244
स्ईम्आ,1874
म्आत्र्आ,889
उग्अ,3106
क्अभ्ई,3860
ल्अन्अ,3765
उप्अ,4824
व्इक्आ,4517
ब्आअंग्ल्आ,766
क्एअंद्र्अ,5214
ओन्अ,12084
ल्अब्ध्अ,2385
क्ष्एत्र्ओ,1316
द्अल्अ,5634
ट्अन्अ,3016
त्आल्अ,3596
ऑफ्अ,3351
द्ऊर्अ,3699
ब्अड्आ,3054
ख्अन्अ,3629
अग्अ,1623
ऊत्अ,6586
प्ऊर्ई,4280
आन्ई,3167
क्उल्अ,3502
आद्इ,4103
स्आम्अ,4592
य्अम्अ,1634
ब्ईच्अ,6812
प्अस्अ,5008
द्एत्आ,1582
च्ईन्अ,2983
भ्आष्आ,2079
ध्अर्म्अ,3091
र्अच्अ,703
त्म्अक्अ,713
व्इष्अ,1624
श्आम्इ,5076
ज्अग्अ,3537
ह् इअंद्ई,1379
ग्अल्अ,4539
ईय्अ,8806
क्आम्अ,10902
र्अत्अ,3999
व्इक्अ,1873
स्इत्अ,677
म्उअंब्ई,2596
अब्अ,13801
ह् इन्द्ई,792
व्इश्व्अ,5590
ड्इय्आ,4160
य्आअंच्य्आ,445
ज्उन्अ,174
आच्य्आ,375
स्उर्ऊ,304
आह् ए,3499
ध्य्आन्अ,2612
र्अख्आ,2346
र्म्अन्अ,715
उर्उ,4028
म्अह् इ,7566
आन्अ,15389
व्अर्ग्अ,1808
स्इत्अंब्अ,1242
ग्अढ्अ,2286
र्अण्अ,4842
