item,frequency
आव्ए,1860
द्अन्अ,2932
क्अर्अ,133838
आख्इ,1997
त्आर्ई,1214
ज्अन्अ,13412
व्अर्ई,3731
इत्अ,3861
द्उआ,189
ह् अम्आ,6351
ल्इए,53773
ज्इत्अ,3605
प्य्आर्अ,1236
द्उन्इ,3344
आप्अ,28640
द्इय्आ,21265
ब्अस्अ,3210
उत्अ,2140
ह् अम्ए,4663
म्इल्अ,9937
ज्आए,14135
म्ओद्ई,6405
स्अर्अ,26956
क्आर्अ,31576
प्अह् अ,23425
क्आर्य्अ,12041
क्आल्अ,1892
त्ईन्अ,5631
त्अल्आ,1652
ल्एक्अ,10369
ब्इल्अ,1331
ल्आय्आ,541
ग्अय्आ,30235
ह् आल्आ,4854
त्अब्अ,3881
य्अह् अ,31278
र्आज्य्अ,7634
स्अभ्आ,4484
प्आस्अ,7991
न्अह् ई,49310
प्आय्आ,1463
भ्आज्अ,5792
द्इव्अंग्अ,110
न्एत्आ,6788
प्र्अम्ओ,451
म्अह् आ,8331
ब्एट्ई,1484
प्ऊन्अ,166
स्अच्इ,3258
ब्अन्आ,17142
ऐस्ई,2871
स्थ्इत्इ,3923
एक्अ,54116
न्य्आय्अ,1124
प्ऊर्ण्अ,1627
स्आर्व्अ,938
ज्अन्इ,939
व्इत्त्अ,1640
इस्अ,81700
त्अर्अ,17582
इस्त्ए,2698
म्आल्अ,3743
स्अंस्आध्अ,513
आव्अंट्अ,230
स्अभ्ई,8842
उप्अ,12781
भ्ओग्अ,292
व्आल्ए,13190
उत्प्आ,2352
व्य्अव्अ,4414
ह् आर्य्अ,9
और्अ,115300
स्अम्अ,23450
व्र्ह् अद्अ,32
आर्थ्इ,1845
प्र्अब्अंध्अ,1682
न्इष्प्अ,165
क्ष्अत्आ,724
र्ऊप्अ,9065
ब्अढ्आ,3352
द्इल्अ,2165
च्अस्प्अ,344
ड्ईस्ई,326
एच्ए,230
च्एय्अ,684
र्अम्ऐ,684
व्एअंक्अ,44
ट्अर्अ,1681
म्अन्अ,4147
र्एड्ड्ई,196
व्आइ,649
व्इन्आ,293
य्अक्अ,3972
र्अव्इ,2891
ब्ऐठ्अ,4367
म्औज्ऊ,3620
आम्अ,3868
च्उन्आ,9128
स्अत्ई,352
क्उम्आ,6342
ग्औत्अ,410
स्अब्अ,12328
अध्इ,16785
ल्आख्अ,4921
ह् अज्आ,4466
व्ओट्अ,1367
प्र्आप्त्अ,2902
ह् उए,19428
आय्अ,1560
र्अल्ऐ,270
ट्ईम्अ,6716
व्इक्ए,1982
ट्अक्ई,178
प्अर्अ,94493
ब्अल्ल्ए,1709
ब्आज्अ,1608
न्इय्आ,1128
ओब्र्आ,4
य्अन्अ,4171
अअंत्अ,4551
र्र्आष्ट्र्ई,542
क्र्इक्ए,2541
स्अंन्य्आस्अ,150
ऐल्आ,649
स्आल्अ,10805
ड्एन्अ,89
म्आर्क्अ,337
ख्इल्आ,9049
द्इव्अ,2139
स्ईय्अ,675
ड्एब्य्ऊ,177
ब्र्आय्अ,38
उम्र्अ,1482
क्इय्आ,36915
स्अफ्अ,2993
र्अह् ए,24369
उन्ह् ओ,17600
प्ईछ्ए,1997
श्इक्आ,3370
क्इए,5351
य्अह् आ,7889
त्अक्अ,21386
प्आक्इ,4625
स्त्आन्अ,4967
ख्एल्ए,736
आय्र्अ,1
ल्ऐअंड्अ,1241
ऐत्इ,621
ह् आस्इ,2673
ट्एस्ट्अ,1918
ह् इस्स्आ,1833
ख्एल्अ,3613
अर्ज्उ,421
क्अह् अ,9494
ब्ऑड्ई,281
फ्इट्अ,527
र्अख्अ,6597
ज्अर्ऊ,4760
एक्स्अ,1911
र्अस्आ,709
इज्अ,561
व्अह् अ,15992
ज्अब्अ,15521
ज्इम्अ,192
ख्उद्अ,3360
ब्आक्ई,1012
एक्ट्इ,354
व्इट्ई,49
ज्ऐस्ए,4881
स्आइ,3121
क्इल्इ,57
स्व्इम्इ,45
व्ऑक्इ,8
इन्व्ऑ,5
क्अर्ए,13509
च्एअंज्अ,349
ल्इय्ए,3119
अच्छ्आ,2470
र्अह् अ,11750
ग्एम्अ,369
क्ऑम्प्इ,12
ट्ईट्इ,1
एस्प्ए,8
न्एस्अ,982
ह् एल्प्अ,155
ग्ऑड्अ,28
फ्ऑद्अ,3
क्उछ्अ,14961
अप्अ,44041
ल्अक्ष्इ,76
ख्ओज्अ,703
श्अब्द्ओ,639
च्आन्अ,1681
स्अक्अ,21196
अम्ए,3689
ज्ऍन्अ,20
प्अर्इ,14521
ण्आम्अ,1136
क्ऐस्ए,2493
प्र्अद्अ,3609
र्श्अन्अ,2959
ल्इस्ट्इ,27
अन्उ,12910
क्ऊल्अ,492
ब्एह् अ,4178
त्र्उट्इ,109
ठ्ईक्अ,1967
स्अक्ष्अ,525
ह् ओअंग्ए,2420
अल्अ,5275
ग्अअ,964
ल्अग्अ,9772
प्अर्ई,3117
क्ष्अण्अ,2764
च्आह् इ,7086
श्अब्द्अ,1056
श्ओध्अ,824
क्अर्त्आ,2439
स्ऊच्ई,1157
प्र्आस्अंग्इ,114
प्र्अद्आ,1724
व्इश्इ,348
ल्अंब्ईप्ऊ,1
