item,frequency
क्अर्अ,133745
और्अ,115092
प्अर्अ,94340
इस्अ,81623
एक्अ,54044
ल्इए,53765
न्अह् ई,49306
अप्अ,44010
क्इय्आ,36892
क्अह् आ,33052
क्आर्अ,31528
य्अह् अ,31236
ग्अय्आ,30231
आप्अ,28611
उन्अ,27670
स्आथ्अ,27514
स्अर्अ,26937
उस्अ,26189
ब्आद्अ,24504
र्अह् ए,24366
स्अम्अ,23443
प्अह् अ,23412
भ्आर्अ,21816
त्अक्अ,21361
द्इय्आ,21256
स्अक्अ,21191
ह् उए,19424
र्अह् आ,19010
र्अह् ई,18346
उन्ह् ओ,17595
त्अर्अ,17576
ब्अत्आ,17439
व्आर्अ,17221
ब्अन्आ,17135
अध्इ,16778
ल्एक्इ,16441
ज्इस्अ,16419
व्अह् अ,15968
ल्अग्आ,15633
ज्अब्अ,15505
र्आज्अ,15024
क्उछ्अ,14944
इन्अ,14641
प्अर्इ,14510
ह् अम्अ,14221
ज्आए,14128
प्र्अत्इ,13981
ल्ओग्ओ,13742
ह् ओन्ए,13635
क्अर्ए,13505
ज्अन्अ,13401
व्आल्ए,13184
ब्आत्अ,13069
अब्अ,12976
क्ओई,12950
अन्उ,12904
उप्अ,12777
क्आर्ई,12733
प्उल्इ,12693
स्अब्अ,12324
ब्आर्अ,12287
म्आन्अ,12276
स्इअंह् अ,12128
क्आर्य्अ,12026
द्एश्अ,11909
र्अह् अ,11746
क्इस्ई,11688
आज्अ,11084
क्आम्अ,10991
स्आल्अ,10797
अग्अ,10737
ज्आन्अ,10583
आई,10532
ह् उआ,10436
द्इन्अ,10391
क्अम्अ,10386
ह् अर्अ,10371
ल्एक्अ,10366
म्आम्अ,10085
म्इल्अ,9937
स्अम्आ,9858
ह् उई,9789
ल्अग्अ,9764
ब्अह् उ,9570
ल्इय्आ,9544
क्अह् अ,9489
द्व्आर्आ,9399
उन्ह् ए,9320
प्अह् उ,9268
च्उन्आ,9119
ज्आन्ए,9086
र्ऊप्अ,9062
ख्इल्आ,9045
प्र्अद्ए,8987
च्अल्अ,8840
स्अभ्ई,8838
न्आम्अ,8819
ज्आत्आ,8710
फ्इर्अ,8618
ह् ओत्आ,8609
म्उख्य्अ,8528
म्अह् आ,8324
ह् ओग्आ,8318
म्अह् इ,8305
द्एख्अ,8263
क्आअंग्र्ए,8258
द्इल्ल्ई,8114
ल्ओग्अ,8093
द्ऊस्अ,8011
प्आस्अ,7977
द्और्आ,7900
य्अह् आ,7883
र्आज्य्अ,7627
फ्इल्म्अ,7605
क्अर्आ,7438
व्आल्ई,7380
ज्य्आद्आ,7353
ब्अन्अ,7331
आर्ओ,7282
त्ईय्अ,7271
श्उर्ऊ,7106
च्आह् इ,7081
त्अथ्आ,7032
प्आर्ट्ई,6915
स्आम्अ,6885
घ्अर्अ,6858
ब्ईच्अ,6830
क्अर्ओ,6814
न्एत्आ,6786
ट्ईम्अ,6699
क्ष्एत्र्अ,6643
