item,frequency
▁आवेदन,1560
▁करने,29818
▁की,196011
▁आखिरी,817
▁तारीख,721
▁31,952
▁जनवरी,1833
",",180717
▁2020,442
▁है,213746
।,267283
▁इतनी,1025
▁दुआ,181
▁कर,46516
▁दो,10008
▁हमारे,3350
▁लिए,49271
▁कि,78899
▁जितना,460
▁प्यार,1166
▁दुनिया,3054
▁ने,103777
▁आपको,6270
▁दिया,21049
▁बस,2807
▁उतना,344
▁ही,41120
▁हमें,2635
▁भी,64856
▁मिल,4150
▁जाए,3345
|,3754
”,1229
▁मोदी,6257
▁सरकार,15920
▁के,319158
▁पहले,14360
▁कार्यकाल,548
▁में,240196
▁तीन,6249
▁तलाक,451
▁को,148285
▁लेकर,10297
▁बिल,1227
▁लाया,473
▁गया,30203
▁था,32490
▁हालांकि,3785
▁तब,3931
▁यह,31041
▁राज्यसभा,501
▁पास,6481
▁नहीं,47279
▁हो,35935
▁पाया,1445
.,105124
▁भाजपा,5314
▁दिवंगत,107
▁नेता,3922
▁प्रमोद,170
▁महाजन,163
▁बेटी,1433
▁पूनम,153
▁सचिव,1772
▁बनाया,2231
▁ऐसी,2848
▁स्थिति,2761
▁एक,51149
▁न्याय,784
पूर्ण,502
▁सार्वजनिक,867
▁वित्त,1505
▁का,113326
▁इस,47921
▁तरह,10488
▁इस्तेमाल,2618
▁करती,3031
▁संसाधनों,164
▁आवंटन,229
▁सभी,8777
▁उपभोग,59
▁वाले,12960
▁उत्पादों,433
▁व्यवहार,600
्यता,33
▁और,114965
▁समग्र,122
▁वृ,114
हद,127
-,45135
आर्थिक,34
▁प्रबंधन,854
▁',8276
न,9926
िष्,235
पक्ष,132
ता,8585
▁रूप,8157
',6071
▁बढ़ाए,108
▁दिलचस्प,338
▁डीसी,192
एचए,42
ल,7415
▁चेयरमैन,547
▁टी,1732
▁वेंकट,40
र,8892
मन,692
▁रेड्डी,185
▁वाइस,113
▁विनायक,71
▁रवि,438
▁बैठक,3095
▁मौजूद,2337
▁थे,16318
▁आम,2820
▁चुनाव,7645
▁सतीश,252
▁कुमार,5226
▁गौतम,397
▁सबसे,7279
