item,frequency
आ,204857
व्ए,31317
द्अ,152754
न्अ,490876
क्अ,565450
र्अ,999529
न्ए,308386
क्ई,243189
ख्इ,16546
र्ई,108493
त्आ,148291
ख्अ,59324
ज्अ,197188
व्अ,186063
ह् ऐ,297000
इ,184879
त्अ,285717
न्ई,78732
द्उ,12533
द्ओ,25992
ह् अ,262437
म्आ,130964
र्ए,76257
ल्इ,108184
ए,260420
क्इ,184856
ज्इ,50037
न्आ,166798
प्य्आ,2108
न्इ,83120
य्आ,223245
प्अ,370306
क्ओ,201192
द्इ,79718
ब्अ,230788
स्अ,467400
उ,159827
ह् ई,135026
म्ए,293850
भ्ई,86464
म्इ,55351
ल्अ,322981
ज्आ,121982
म्ओ,23164
द्ई,40677
क्आ,304128
क्ए,403271
ल्ए,127076
र्य्अ,16925
त्ई,65048
ल्आ,130798
ब्इ,25327
ग्अ,156518
थ्आ,44956
ह् आ,124398
अंक्इ,9912
य्अ,183402
र्आ,162093
ज्य्अ,8148
भ्आ,67289
प्आ,78979
ह् ओ,97213
व्अंग्अ,119
प्र्अ,86356
म्अ,286050
ब्ए,18482
ट्ई,29775
प्ऊ,31205
च्इ,15025
ऐ,18787
स्ई,65756
स्थ्इ,8718
त्इ,53066
न्य्आ,5173
र्ण्अ,7332
स्आ,120407
र्व्अ,10657
व्इ,100300
त्त्अ,8495
स्त्ए,3977
स्अंस्आ,862
ध्अ,28574
न्ओ,32956
व्अंट्अ,238
भ्ओ,3735
व्आ,141368
त्प्आ,2374
व्य्अ,11880
औ,118133
ग्र्अ,4429
व्र्ह् अ,64
र्थ्इ,3079
ब्अंध्अ,4195
ष्प्अ,389
क्ष्अ,23260
र्ऊ,31543
ढ्आ,6474
च्अ,63734
स्प्अ,5901
ड्ई,24649
च्ए,10932
म्ऐ,22209
अंक्अ,10429
ट्अ,91001
ड्ड्ई,522
ब्ऐ,14895
ठ्अ,16576
म्औ,13607
ज्ऊ,9293
थ्ए,17514
च्उ,20935
श्अ,111059
क्उ,33963
ग्औ,3227
स्ए,215211
अ,250432
ध्इ,27641
व्ओ,11506
प्र्आ,11017
प्त्अ,5534
ह् उ,64493
ल्ऐ,3316
अंड्अ,12162
ल्ल्ए,2928
ब्आ,105938
ओ,35572
ब्र्आ,1995
अंत्अ,10108
र्र्आ,927
ष्ट्र्ई,4754
क्र्इ,6856
स्अंन्य्आ,174
ड्ए,19161
र्क्अ,5131
फ्अ,37164
ब्य्ऊ,920
म्र्अ,1842
ह् ए,38140
न्ह् ओ,18799
अंन्ए,21192
प्ई,31489
छ्ए,3171
श्इ,30324
स्त्आ,11727
ख्ए,12836
ग्ए,27251
य्र्अ,6
स्इ,44655
ट्ए,16484
स्ट्अ,11737
ह् इ,42893
स्स्आ,2439
र्ज्उ,504
ब्ऑ,4089
फ्इ,25749
क्स्अ,9258
त्ए,76797
त्ओ,42807
ख्उ,9765
क्ट्इ,768
ज्ऐ,9477
अंग्अ,25059
स्व्इ,414
व्ऑ,1671
न्व्ऑ,9
ल्व्अ,269
अंज्अ,2631
य्ए,37740
च्छ्आ,3281
क्ऑ,8416
म्प्इ,383
ट्इ,10926
स्प्ए,1388
क्ट्अ,7341
ल्प्अ,2855
ग्ऑ,147
ड्अ,28475
फ्ऑ,1874
छ्अ,29233
क्ष्इ,4182
ख्ओ,5232
ब्द्ओ,648
च्आ,48259
ज्ऍ,28
र्इ,75306
ण्आ,11398
प्र्ष्ठ्अ,361
क्ऐ,11727
र्श्अ,6654
स्ट्इ,2307
न्उ,18195
क्ऊ,3197
द्आ,55304
त्र्उ,415
य्ओ,65754
ठ्ई,5112
अंग्ए,15715
ण्अ,48430
ब्द्अ,1080
श्ओ,9423
र्त्आ,3898
स्ऊ,15439
च्ई,11660
स्अंग्इ,136
ष्ट्अ,3268
ल्अंब्ई,616
अंछ्अ,165
म्उ,51586
द्ऊ,16344
र्ओ,61820
त्उ,8613
छ्ओ,6744
स्थ्आ,13682
प्इ,17404
र्ऐ,2956
ब्ऊ,5923
व्य्आ,4499
र्ध्ई,79
ट्र्ऐ,998
र्ष्इ,906
ज्ई,35164
ई,83370
ब्य्औ,96
त्ऐ,5916
ग्आ,66660
क्औ,3199
ट्आ,16176
ल्क्उ,590
द्द्आ,963
ख्आ,30779
द्औ,11205
स्क्ऊ,4411
ग्ई,42473
स्अंप्अ,2480
त्त्इ,1788
स्व्आ,5944
य्ऊ,10128
क्र्ए,1129
ध्आ,34172
म्अंत्र्ई,15578
क्स्ई,989
न्च्आ,10
र्उ,26219
श्उ,17586
क्र्अ,9668
ष्ट्र्अ,5316
ल्ओ,50711
ड्इ,22590
ज्ए,20449
अंस्क्ई,8
स्त्ई,2398
फ्आ,13930
स्औ,4182
अंप्अ,1789
द्ए,82457
अंट्अ,13300
र्ट्अ,13484
ल्ई,58651
र्न्आ,1552
अंड्ई,1030
प्ओ,12752
ड्आ,24442
अंस्अ,10418
ड़्अ,9720
