item,frequency
आ,252524
व्ए,31093
द्अ,159572
न्अ,513881
क्अ,580831
र्अ,1036148
न्ए,305771
क्ई,241136
ख्इ,16243
र्ई,104333
त्आ,147721
ख्अ,62603
ज्अ,205335
व्अ,194918
ह् ऐ,296937
इ,231176
त्अ,299011
न्ई,76004
द्उ,12387
द्ओ,25100
ह् अ,269095
म्आ,129502
र्ए,72629
ल्इ,104377
ए,295587
क्इ,183045
ज्इ,49156
न्आ,163622
प्य्आ,2021
न्इ,80116
य्आ,225406
प्अ,377174
क्ओ,198283
द्इ,78757
ब्अ,236489
स्अ,487383
उ,167516
ह् ई,134702
म्ए,292881
भ्ई,86382
म्इ,53794
ल्अ,345821
ज्आ,122219
म्ओ,21782
द्ई,39706
क्आ,302812
क्ए,402074
ल्ए,123823
र्य्अ,17076
त्ई,63499
ल्आ,128558
ब्इ,24650
ग्अ,161996
थ्आ,45261
ह् आ,123867
अंक्इ,9595
य्अ,192754
र्आ,156965
ज्य्अ,8129
भ्आ,67365
प्आ,78389
ह् ओ,96996
व्अंग्अ,107
प्र्अ,87296
म्अ,299081
ब्ए,18345
ट्ई,29409
प्ऊ,31142
च्इ,14732
ऐ,22835
स्ई,64606
स्थ्इ,8631
त्इ,51924
न्य्आ,5002
र्ण्अ,7578
स्आ,119394
र्व्अ,11093
व्इ,99510
त्त्अ,8762
स्त्ए,3656
स्अंस्आ,827
ध्अ,30406
न्ओ,28541
व्अंट्अ,231
भ्ओ,3759
व्आ,141479
त्प्आ,2328
व्य्अ,11753
औ,121310
ग्र्अ,4663
र्थ्इ,2914
ब्अंध्अ,4394
क्ष्अ,23946
र्ऊ,30340
ढ्आ,7611
च्अ,67552
स्प्अ,6052
ड्ई,27674
च्ए,10677
म्ऐ,22184
अंक्अ,11281
ट्अ,102076
ड्ड्ई,511
ब्ऐ,14841
ठ्अ,18039
म्औ,13479
ज्ऊ,9026
थ्ए,17384
च्उ,20937
श्अ,115340
क्उ,33651
ग्औ,3137
स्ए,214222
अ,251269
ध्इ,27193
व्ओ,9921
प्र्आ,10933
प्त्अ,5481
ह् उ,64379
ल्ऐ,3122
अंड्अ,13937
ल्ल्ए,2818
ब्आ,105664
ओ,80083
ब्र्आ,1969
अंत्अ,10503
र्र्आ,664
ष्ट्र्ई,4562
क्र्इ,6778
स्अंन्य्आ,167
ड्ए,20955
र्क्अ,5465
फ्अ,41132
ब्य्ऊ,775
म्र्अ,1787
ह् ए,37892
न्ह् ओ,18212
अंन्ए,21103
प्ई,31218
छ्ए,3117
श्इ,29655
स्त्आ,11025
ख्ए,12229
ग्ए,26852
स्इ,43251
ट्ए,15500
स्ट्अ,12461
ह् इ,41684
स्स्आ,2265
र्ज्उ,471
ब्ऑ,4034
फ्इ,25608
क्स्अ,9078
